# Generation      Maximum Fitness      Average Fitness      Minimum Fitness
741                4.9231140583         4.8846770090         4.8142598363
742                4.9231140583         4.8441311604         3.9610241405
743                4.9231140583         4.8644295194         4.3761142366
744                4.9231140583         4.8213455491         3.9727374200
745                4.9231140583         4.8377155310         3.9431074508
746                4.9231140583         4.8510854597         4.0538123421
747                4.9231140583         4.8835742244         4.3503532453
748                4.9231140583         4.8724746720         4.0645265098
749                4.9231140583         4.8377314374         3.9023366854
750                4.9231140583         4.8794067762         4.1617466282
751                4.9231140583         4.8685370402         4.1766354612
752                4.9231140583         4.8626180114         4.0990113921
753                4.9231140583         4.8913388095         4.7636057176
754                4.9231140583         4.8749759649         4.3145049208
755                4.9300816242         4.8495087062         4.1121555143
756                4.9300816242         4.8244078497         3.9942491825
757                4.9300816242         4.8149484372         4.2671853850
758                4.9300816242         4.8483356014         4.2849040159
759                4.9300816242         4.8577479441         4.1361401110
760                4.9300816242         4.8519526176         3.9510374019
761                4.9300816242         4.8447029425         4.2282980245
762                4.9300816242         4.8273771365         3.8343683724
763                4.9300816242         4.8760764131         4.4932206465
764                4.9300816242         4.8781222714         4.5187308758
765                4.9300816242         4.8870425218         4.7468050908
766                4.9300816242         4.8718755112         4.1884209615
767                4.9300816242         4.8795053476         3.9692447191
768                4.9300816242         4.8765832793         4.1749115931
769                4.9300816242         4.8697337687         4.1877599722
770                4.9300816242         4.8543089132         4.1225346774
771                4.9300816242         4.8716616808         4.1881004639
772                4.9300816242         4.8720442574         4.2611634040
773                4.9300816242         4.8720309378         4.4496195137
774                4.9300816242         4.8577457377         4.1652197181
775                4.9300816242         4.8467195346         3.9501385176
776                4.9300816242         4.8244692095         4.0404212141
777                4.9300816242         4.8278892897         3.4659397955
778                4.9300816242         4.8622565300         4.0936201533
779                4.9300816242         4.8327794819         4.3261573874
780                4.9300816242         4.8490996196         4.2722170142
781                4.9300816242         4.8688890070         4.1666201668
782                4.9300816242         4.8856757234         4.5676838245
783                4.9300816242         4.8580871857         4.0993186319
784                4.9300816242         4.8576290602         3.9441780689
785                4.9300816242         4.8720653978         3.9946974444
786                4.9300816242         4.8456231418         3.9545801783
787                4.9300816242         4.8660385165         4.4178427525
788                4.9300816242         4.8437224621         3.9699735321
789                4.9300816242         4.8771988395         4.5030062349
790                4.9300816242         4.8685901056         4.3792945087
791                4.9300816242         4.8925673023         4.7881874999
792                4.9300816242         4.8619064616         4.0604259833
793                4.9300816242         4.8415528178         4.1593585576
794                4.9300816242         4.8419309130         4.3315783867
795                4.9300816242         4.8490920574         3.9884839101
796                4.9300816242         4.8462111053         4.2284182197
